mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_alpha,param_max_iter,param_tol,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0.0851589838663737,0.014290910271865933,0.0019519329071044922,0.001869996007094349,0.0001,1000,0.0001,"{'alpha': 0.0001, 'max_iter': 1000, 'tol': 0.0001}",-31.152314469091575,-8.212879223252541,-36.60366520204906,-25.322952964797725,12.30163332744246,54
0.04912122090657552,0.03485598341270492,0.0005947748819986979,0.0002691190188483582,0.0001,1000,0.001,"{'alpha': 0.0001, 'max_iter': 1000, 'tol': 0.001}",-31.152314469091575,-8.212879223252541,-35.82764150300386,-25.06427839844933,12.067640237148684,53
0.049995104471842446,0.0355312367741355,0.00043328603108723957,7.993397453837213e-05,0.0001,1000,0.01,"{'alpha': 0.0001, 'max_iter': 1000, 'tol': 0.01}",-31.152314469091575,-8.212879223252541,-35.55927841367516,-24.974824035339754,11.98825614827022,52
0.11028528213500977,0.012584710391842889,0.0003428459167480469,2.5752149814001163e-06,0.0001,2000,0.0001,"{'alpha': 0.0001, 'max_iter': 2000, 'tol': 0.0001}",-27.66840579667796,-7.3603831809293165,-37.175312861400705,-24.068033946335998,12.435286246763404,51
0.0969235102335612,0.06702906767437089,0.0006807645161946615,0.00024167023680430106,0.0001,2000,0.001,"{'alpha': 0.0001, 'max_iter': 2000, 'tol': 0.001}",-27.66840579667796,-7.3603831809293165,-35.82764150300386,-23.61881016020371,11.969283401221759,50
0.11715412139892578,0.08215071621373832,0.00032631556193033856,9.668950436239233e-05,0.0001,2000,0.01,"{'alpha': 0.0001, 'max_iter': 2000, 'tol': 0.01}",-27.66840579667796,-7.3603831809293165,-35.55927841367516,-23.529355797094144,11.87836195949411,49
0.26482566197713214,0.0200401590199969,0.0007422765096028646,5.684115382972128e-05,0.0001,5000,0.0001,"{'alpha': 0.0001, 'max_iter': 5000, 'tol': 0.0001}",-22.830767501493725,-5.804052343087683,-34.609754873746716,-21.081524906109376,11.82474839237138,43
0.189833402633667,0.134309918158632,0.0006729761759440104,0.00013606333831642415,0.0001,5000,0.001,"{'alpha': 0.0001, 'max_iter': 5000, 'tol': 0.001}",-22.830767501493725,-5.804052343087683,-35.82764150300386,-21.487487115861757,12.293827127375124,48
0.220717986424764,0.1558790040711668,0.0007313887278238932,0.0001604434024868701,0.0001,5000,0.01,"{'alpha': 0.0001, 'max_iter': 5000, 'tol': 0.01}",-22.830767501493725,-5.804052343087683,-35.55927841367516,-21.398032752752187,12.189692811910964,47
0.04956459999084473,0.00686780390637564,0.0005057652791341146,0.00023600648250455557,0.001,1000,0.0001,"{'alpha': 0.001, 'max_iter': 1000, 'tol': 0.0001}",-15.084740823672984,-4.1751422441086605,-29.286104480104402,-16.181995849295348,10.280826249150769,32
0.04984696706136068,0.006538084645065876,0.0005029837290445963,0.0001640105341287029,0.001,1000,0.001,"{'alpha': 0.001, 'max_iter': 1000, 'tol': 0.001}",-15.084740823672984,-4.1751422441086605,-29.286104480104402,-16.181995849295348,10.280826249150769,32
0.02695910135904948,0.018379419556662828,0.00040332476298014325,0.0002204767636990438,0.001,1000,0.01,"{'alpha': 0.001, 'max_iter': 1000, 'tol': 0.01}",-22.505328952643605,-5.2042130734020615,-35.82632006773794,-21.17862069792787,12.536572505752565,44
0.09035976727803548,0.009062647836157994,0.0006315708160400391,0.00021705258706552585,0.001,2000,0.0001,"{'alpha': 0.001, 'max_iter': 2000, 'tol': 0.0001}",-7.549865379306728,-3.693632616244144,-25.89387257912988,-12.379123524893584,9.685176449260487,19
0.07160862286885579,0.018452965849527558,0.0006036758422851562,0.00020614628670628622,0.001,2000,0.001,"{'alpha': 0.001, 'max_iter': 2000, 'tol': 0.001}",-12.614252288063394,-3.693632616244144,-26.51229482945394,-14.27339324458716,9.389263295039111,27
0.025017738342285156,0.015841951930610918,0.0004112720489501953,0.0001051662884032819,0.001,2000,0.01,"{'alpha': 0.001, 'max_iter': 2000, 'tol': 0.01}",-22.505328952643605,-5.2042130734020615,-35.82632006773794,-21.17862069792787,12.536572505752565,44
0.1620311737060547,0.029265125323829484,0.0003235340118408203,1.905659086236086e-05,0.001,5000,0.0001,"{'alpha': 0.001, 'max_iter': 5000, 'tol': 0.0001}",-7.607685433619165,-4.435470480719819,-27.98814946849891,-13.343768460945965,10.435808809020111,20
0.1199933687845866,0.08511323444801272,0.0005492369333902994,0.0001947716201943549,0.001,5000,0.001,"{'alpha': 0.001, 'max_iter': 5000, 'tol': 0.001}",-12.614252288063394,-4.433645099131065,-26.51229482945394,-14.520064072216135,9.113754528039223,28
0.024259090423583984,0.01645933135474929,0.0002720355987548828,4.880345424127712e-05,0.001,5000,0.01,"{'alpha': 0.001, 'max_iter': 5000, 'tol': 0.01}",-22.505328952643605,-5.2042130734020615,-35.82632006773794,-21.17862069792787,12.536572505752565,44
0.03928399085998535,0.0009845325408114913,0.0002754529317220052,1.1500796483447191e-05,0.01,1000,0.0001,"{'alpha': 0.01, 'max_iter': 1000, 'tol': 0.0001}",-7.521095641259091,-6.068538923140492,-28.19800785221706,-13.929214138872213,10.106972371596745,24
0.014918009440104166,0.0007123904144387709,0.0018830299377441406,0.0023305522653412586,0.01,1000,0.001,"{'alpha': 0.01, 'max_iter': 1000, 'tol': 0.001}",-7.472567339972598,-6.308736508065653,-27.784472100645285,-13.85525864956118,9.860894688134579,21
