mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_learning_rate,param_max_depth,param_min_samples_leaf,param_min_samples_split,param_n_estimators,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0.03771503766377767,0.004577991457501399,0.0005535284678141276,0.0002570174645110548,0.01,3,1,2,50,0.6,"{'learning_rate': 0.01, 'max_depth': 3, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 50, 'subsample': 0.6}",-3.4681964869137585,-14.611818088226775,-18.025139504716016,-12.035051359952183,6.215890528038745,7
0.044166008631388344,0.004701669004394667,0.0015311241149902344,0.0012490095158552855,0.01,3,1,2,50,0.8,"{'learning_rate': 0.01, 'max_depth': 3, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 50, 'subsample': 0.8}",-3.634266456584527,-14.779015235663717,-18.343110785904596,-12.252130826050946,6.265055678959863,18
0.06026792526245117,0.00636204029804449,0.0006779034932454427,0.00021551530334122966,0.01,3,1,2,50,1.0,"{'learning_rate': 0.01, 'max_depth': 3, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 50, 'subsample': 1.0}",-3.536321433459294,-15.496649123444843,-18.134857228447203,-12.389275928450445,6.351962319845896,35
0.08553433418273926,0.004875857260612282,0.0006800492604573568,0.00028293273406693957,0.01,3,1,2,100,0.6,"{'learning_rate': 0.01, 'max_depth': 3, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100, 'subsample': 0.6}",-3.625900532123799,-12.139724114207786,-21.630556235589058,-12.46539362730688,7.353976349517889,51
0.10537560780843098,0.009531552062897596,0.0006971359252929688,0.000341570541895495,0.01,3,1,2,100,0.8,"{'learning_rate': 0.01, 'max_depth': 3, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100, 'subsample': 0.8}",-3.9760767545220204,-12.802954251152295,-21.851385712004173,-12.876805572559496,7.297751164782002,96
0.11858630180358887,0.005136904785757783,0.0008878707885742188,0.00028799885399083804,0.01,3,1,2,100,1.0,"{'learning_rate': 0.01, 'max_depth': 3, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100, 'subsample': 1.0}",-3.903539596338289,-13.73806291972346,-21.64255174944367,-13.094718088501807,7.256195397539026,143
0.17293564478556314,0.009306164593489555,0.0006319681803385416,2.2873553704348935e-05,0.01,3,1,2,200,0.6,"{'learning_rate': 0.01, 'max_depth': 3, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200, 'subsample': 0.6}",-4.057969776837395,-10.516386467925535,-25.53311201139482,-13.369156085385917,8.996264201187321,175
0.20162510871887207,0.009632393001517555,0.0006412665049235026,2.8652804097875327e-05,0.01,3,1,2,200,0.8,"{'learning_rate': 0.01, 'max_depth': 3, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200, 'subsample': 0.8}",-4.338464709020665,-11.413525954553114,-25.818403059607572,-13.856797907727119,8.937714893048394,277
0.23216938972473145,0.019924493621150362,0.0008967717488606771,0.00041610366761969496,0.01,3,1,2,200,1.0,"{'learning_rate': 0.01, 'max_depth': 3, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200, 'subsample': 1.0}",-4.287368505010098,-12.306820666891387,-25.168029832012696,-13.920739667971395,8.60054476064475,303
0.05387576421101888,0.008420504168285752,0.0006811618804931641,0.00020115700161445159,0.01,3,1,5,50,0.6,"{'learning_rate': 0.01, 'max_depth': 3, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 50, 'subsample': 0.6}",-3.4681964869137585,-14.519757536446754,-18.025139504716016,-12.004364509358842,6.203308206993391,5
0.0627299149831136,0.019537557141163474,0.001008431116739909,5.3617270513682084e-05,0.01,3,1,5,50,0.8,"{'learning_rate': 0.01, 'max_depth': 3, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 50, 'subsample': 0.8}",-3.634266456584527,-14.779015235663717,-18.343110785904596,-12.252130826050946,6.265055678959863,18
0.058395703633626304,0.0032218418335181577,0.00039728482564290363,2.1340201690028095e-05,0.01,3,1,5,50,1.0,"{'learning_rate': 0.01, 'max_depth': 3, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 50, 'subsample': 1.0}",-3.536321433459294,-15.496649123444843,-18.134857228447203,-12.389275928450445,6.351962319845896,35
0.10009217262268066,0.013202175830429286,0.001531839370727539,0.0014570945301229897,0.01,3,1,5,100,0.6,"{'learning_rate': 0.01, 'max_depth': 3, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 100, 'subsample': 0.6}",-3.625900532123799,-12.036610661019234,-21.630556235589058,-12.43102247624403,7.3556589217677715,47
0.11041792233784993,0.010066384746356093,0.0006976127624511719,0.0003133779825842116,0.01,3,1,5,100,0.8,"{'learning_rate': 0.01, 'max_depth': 3, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 100, 'subsample': 0.8}",-3.9760767545220204,-12.802954251152295,-21.851385712004173,-12.876805572559496,7.297751164782002,96
0.11596067746480306,0.006011773226653722,0.0004590352376302083,1.8006873494666053e-05,0.01,3,1,5,100,1.0,"{'learning_rate': 0.01, 'max_depth': 3, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 100, 'subsample': 1.0}",-3.903539596338289,-13.73806291972346,-21.64255174944367,-13.094718088501807,7.256195397539026,143
