mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bytree,param_learning_rate,param_max_depth,param_n_estimators,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0.03188459078470866,0.005367749367753333,0.012213309605916342,0.002947339220155227,0.6,0.01,3,50,0.6,"{'colsample_bytree': 0.6, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 50, 'subsample': 0.6}",-3.817410629701471,-14.80514145101246,-17.63217875732187,-12.084910279345266,5.958842047773013,10
0.035878658294677734,0.003475565109020629,0.015629053115844727,0.0057725454321636924,0.6,0.01,3,50,0.8,"{'colsample_bytree': 0.6, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 50, 'subsample': 0.8}",-3.8809381732872117,-14.539602725291187,-17.45054375037257,-11.95702821631699,5.8329990685306425,4
0.03259054819742838,0.003536461454175616,0.015444676081339518,0.0011796106155150042,0.6,0.01,3,50,1.0,"{'colsample_bytree': 0.6, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 50, 'subsample': 1.0}",-3.936845079001075,-14.498034586346101,-17.51603889982553,-11.983639521724236,5.821813183286078,5
0.05164130528767904,0.007452465608135795,0.017014026641845703,0.0008684057163842122,0.6,0.01,3,100,0.6,"{'colsample_bytree': 0.6, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 100, 'subsample': 0.6}",-4.383282862314758,-12.740162217530239,-21.121640736763887,-12.748361938869628,6.833408447222407,45
0.058269341786702476,0.0023678546141439175,0.02678569157918294,0.015840987724272997,0.6,0.01,3,100,0.8,"{'colsample_bytree': 0.6, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 100, 'subsample': 0.8}",-4.564542330366232,-12.312169590465992,-20.910067391973804,-12.595593104268675,6.6760414444011404,37
0.053432305653889976,0.003225022410424023,0.011652946472167969,0.0013386102794214765,0.6,0.01,3,100,1.0,"{'colsample_bytree': 0.6, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 100, 'subsample': 1.0}",-4.571445952308564,-12.461819407088592,-20.96195960954627,-12.665074989647808,6.692942507393146,41
0.08333063125610352,0.009026031475059374,0.011656761169433594,0.001764694149945172,0.6,0.01,3,200,0.6,"{'colsample_bytree': 0.6, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 200, 'subsample': 0.6}",-5.3750639802001565,-9.991354113339359,-24.71822361986185,-13.361547237800457,8.248559772610122,69
0.08812832832336426,0.008846311456847009,0.013502995173136393,0.002598272842778003,0.6,0.01,3,200,0.8,"{'colsample_bytree': 0.6, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 200, 'subsample': 0.8}",-5.589230169043712,-10.107592197163616,-24.728789110210435,-13.475203825472589,8.168487627255534,74
0.08881958325703938,0.008069408257209152,0.017718712488810223,0.0007088859785897936,0.6,0.01,3,200,1.0,"{'colsample_bytree': 0.6, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 200, 'subsample': 1.0}",-5.680708808646815,-11.014640822539407,-24.874237693676957,-13.856529108287726,8.089298879244799,100
0.18451857566833496,0.008408882044208177,0.014652013778686523,0.0035170228806665252,0.6,0.01,3,500,0.6,"{'colsample_bytree': 0.6, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 500, 'subsample': 0.6}",-6.311402703288916,-7.9333632112277686,-27.445536819715752,-13.896767578077478,9.603282423029494,101
0.17786184946695963,0.00410160123550634,0.01782854398091634,0.004766455731692379,0.6,0.01,3,500,0.8,"{'colsample_bytree': 0.6, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 500, 'subsample': 0.8}",-6.594988058701416,-8.444969983275229,-27.53821681366209,-14.192724951879578,9.466862312121156,132
0.17213924725850424,0.008208087418060032,0.014545043309529623,0.0034052985616448055,0.6,0.01,3,500,1.0,"{'colsample_bytree': 0.6, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 500, 'subsample': 1.0}",-6.718466226197576,-10.435390112464155,-27.728459159012875,-14.960771832558203,9.154753247854662,293
0.03976702690124512,0.0005771444593868241,0.015963315963745117,0.0022452887206588796,0.6,0.01,5,50,0.6,"{'colsample_bytree': 0.6, 'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 50, 'subsample': 0.6}",-3.8488141862112997,-14.623602932702134,-17.78165366482382,-12.084690261245752,5.9646493134778265,9
0.04673298199971517,0.002145805255529096,0.011562665303548178,0.0026974406361914,0.6,0.01,5,50,0.8,"{'colsample_bytree': 0.6, 'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 50, 'subsample': 0.8}",-3.895135422867443,-14.498958052444532,-17.647009501653958,-12.013700992321978,5.882793393214195,6
0.045097033182779946,0.004456033873056359,0.015627145767211914,0.004003787403146729,0.6,0.01,5,50,1.0,"{'colsample_bytree': 0.6, 'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 50, 'subsample': 1.0}",-4.0867155334856085,-13.777340170619407,-17.5066850438091,-11.790246915971371,5.6559879842224925,1
0.06275399525960286,0.011345562650283256,0.019146283467610676,0.004072919040254002,0.6,0.01,5,100,0.6,"{'colsample_bytree': 0.6, 'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 100, 'subsample': 0.6}",-4.5428167751013255,-12.626364486769404,-21.077871011269284,-12.749017424380005,6.750964743678361,46
