mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0.12845118840535483,0.008188416918187147,0.007913907368977865,0.002305320980167681,10,sqrt,4,2,200,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 200}",-4.353923450129503,-15.130370245463608,-26.572871377755252,-15.352388357782786,9.072205934768913,202
0.20712860425313315,0.007766116741339821,0.006206115086873372,0.00014136865857105276,10,sqrt,4,2,300,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 300}",-4.245008036782633,-14.948003955981077,-26.595783552466983,-15.262931848410233,9.127382838514048,190
0.07937455177307129,0.004081417302124114,0.0037534236907958984,0.0007098657120037199,10,sqrt,4,5,100,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 100}",-4.264358871023097,-14.55418030275838,-27.26393676525981,-15.360825313013763,9.406846902042254,208
0.13861560821533203,0.011982823143625906,0.006065924962361653,0.0018134507938696194,10,sqrt,4,5,200,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 200}",-4.353923450129503,-15.130370245463608,-26.572871377755252,-15.352388357782786,9.072205934768913,202
0.20182434717814127,0.005277970892898289,0.00707705815633138,0.0012869903556339396,10,sqrt,4,5,300,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 300}",-4.245008036782633,-14.948003955981077,-26.595783552466983,-15.262931848410233,9.127382838514048,190
0.07673319180806477,0.0009372309315399743,0.004475752512613933,0.0017489978796671644,10,sqrt,4,10,100,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 100}",-4.313480098777257,-14.687881425696695,-26.971991269382745,-15.324450931285563,9.261243533086244,196
0.14023772875467935,0.006893972035850681,0.004637877146402995,6.501744546263164e-05,10,sqrt,4,10,200,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 200}",-4.254597060634578,-15.317148533549158,-26.47395382044691,-15.348566471543549,9.07104161678159,199
0.2060879866282145,0.0020915718732257746,0.011154890060424805,0.004019432072313615,10,sqrt,4,10,300,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 300}",-4.2904129434916936,-15.205572245552712,-26.650696042823746,-15.382227077289384,9.129401961711425,214
0.08127967516581218,0.005241808111638812,0.003346045811971029,6.499879149093123e-05,10,log2,1,2,100,"{'max_depth': 10, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}",-4.697802230839009,-8.63604441662854,-28.015854390708228,-13.783233679391927,10.191599714556604,121
0.1632693608601888,0.00819998788701327,0.0053637027740478516,0.00043640009763450734,10,log2,1,2,200,"{'max_depth': 10, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}",-4.595636646118787,-9.031075146643898,-27.34618915638298,-13.657633649715223,9.847188856634103,104
