mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0.07157731056213379,0.003148463794195842,0.0031899611155192056,0.00011899457243966271,10,sqrt,1,2,100,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}",-5.3010953170546005,-8.816452364724586,-25.06692866301081,-13.06149211493,8.609580470833896,106
0.13875897725423178,0.010088818136557123,0.010301351547241211,0.0017104028669101055,10,sqrt,1,2,200,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}",-4.993539468545139,-8.717527749138263,-24.329402512383474,-12.680156576688958,8.376384276890999,100
0.21511594454447427,0.010662084964200914,0.009131352106730143,0.001649328394109276,10,sqrt,1,2,300,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 300}",-4.998106072219178,-8.478584406462149,-24.03920123290623,-12.505297237195853,8.278552143762077,88
0.07567890485127766,0.0005073166915026937,0.004547993342081706,0.0020821283327998132,10,sqrt,1,5,100,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 100}",-5.1768884982242565,-7.0397408481717765,-24.860751553696865,-12.359126966697632,8.872636500504385,75
0.14734101295471191,0.007828322981979247,0.004721641540527344,5.380482814168078e-05,10,sqrt,1,5,200,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 200}",-5.192966915287193,-7.048277731466538,-24.10072984648564,-12.113991497746456,8.509679458789225,43
0.2083604335784912,0.017199267446709316,0.006743669509887695,0.0008572161110144785,10,sqrt,1,5,300,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 300}",-4.973619649757798,-6.963406759901977,-23.69674086487478,-11.877922424844853,8.396553466540803,10
0.07042964299519856,0.010358350142802229,0.0035764376322428384,0.0007265051449264722,10,sqrt,1,10,100,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 100}",-5.412639155020863,-6.8727564670941685,-24.954757680992937,-12.413384434369325,8.88810132797772,81
0.13805174827575684,0.005893236987553777,0.006096601486206055,0.0013586767999578587,10,sqrt,1,10,200,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 200}",-4.983290596163738,-7.165456494261377,-24.174457153406948,-12.107734747944022,8.578842354287701,42
0.21727450688680014,0.010067468182192068,0.007491747538248698,0.0022925624782111883,10,sqrt,1,10,300,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 300}",-4.986588815056808,-7.174670145397945,-24.081067265600716,-12.080775408685156,8.532376709350968,37
0.07263779640197754,0.0056689686479998265,0.0039403438568115234,0.0012122369775373187,10,sqrt,2,2,100,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 100}",-5.474852696149168,-7.462487217117856,-24.85214278887365,-12.596494234046892,8.703959400633217,94
0.14168334007263184,0.010241651427100902,0.007892449696858725,0.0024966454820814625,10,sqrt,2,2,200,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 200}",-5.082903690505582,-7.498271789354273,-24.07093791930514,-12.217371133054998,8.43954125650217,54
0.21613407135009766,0.014757216935719448,0.011124928792317709,0.005731165910754358,10,sqrt,2,2,300,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 300}",-4.98631185251153,-7.768571910032476,-24.019059704601705,-12.257981155715237,8.393547888377405,66
0.07539550463358562,0.006383508133272203,0.005034446716308594,0.0009950742653368886,10,sqrt,2,5,100,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 100}",-5.118425519011459,-7.539795259873071,-24.80301755338366,-12.487079444089398,8.764607102411576,87
0.1298811435699463,0.0041469287334730326,0.006135145823160808,0.002270697431983729,10,sqrt,2,5,200,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 200}",-4.965043242986071,-7.6329646704973575,-24.168697172401334,-12.255568361961588,8.49397550135548,63
0.20452411969502768,0.006711847170444547,0.01067352294921875,0.0033090726796272288,10,sqrt,2,5,300,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 300}",-4.834918374043024,-7.687472476857403,-23.84086292671209,-12.121084592537507,8.368558991009614,48
0.08301568031311035,0.009891675106894185,0.00411232312520345,0.0009661476363140001,10,sqrt,2,10,100,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 100}",-5.0910841107671985,-8.114628539553228,-24.909985284585616,-12.705232644968682,8.717891391611015,103
