mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bytree,param_learning_rate,param_max_depth,param_n_estimators,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0.04356082280476888,0.014638343895621301,0.009938955307006836,0.002753613229859992,0.6,0.01,3,50,0.6,"{'colsample_bytree': 0.6, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 50, 'subsample': 0.6}",-3.994044692562987,-14.941822058451383,-17.615804114468315,-12.183890288494228,5.89308765548649,20
0.03184668223063151,0.0043857425791178645,0.021109978357950848,0.014175174771619255,0.6,0.01,3,50,0.8,"{'colsample_bytree': 0.6, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 50, 'subsample': 0.8}",-4.054208933079639,-14.444624346754349,-17.625004307726527,-12.041279195853505,5.795036537756732,4
0.03885984420776367,0.01233613000722312,0.009887059529622396,0.002697341443316272,0.6,0.01,3,50,1.0,"{'colsample_bytree': 0.6, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 50, 'subsample': 1.0}",-4.07844142298994,-14.568595693524726,-17.506383454280485,-12.05114019026505,5.763713701951438,5
0.04397463798522949,0.009752241042946088,0.010437488555908203,0.003020342644741981,0.6,0.01,3,100,0.6,"{'colsample_bytree': 0.6, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 100, 'subsample': 0.6}",-4.720843872554844,-12.522809654167578,-20.60125115567197,-12.614968227464798,6.483476627622663,42
0.044049342473347984,0.006154765315066411,0.015349626541137695,0.0015378172205649497,0.6,0.01,3,100,0.8,"{'colsample_bytree': 0.6, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 100, 'subsample': 0.8}",-4.92754658381057,-12.013871119049039,-20.666563116717725,-12.535993606525778,6.436024615383208,36
0.05211194356282552,0.00964055107447957,0.01099697748819987,0.0030555647976970197,0.6,0.01,3,100,1.0,"{'colsample_bytree': 0.6, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 100, 'subsample': 1.0}",-4.862768903929816,-12.561362004790709,-20.695806008338185,-12.70664563901957,6.464626644964326,57
0.07466936111450195,0.007941134166742766,0.014588594436645508,0.0046763522981175445,0.6,0.01,3,200,0.6,"{'colsample_bytree': 0.6, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 200, 'subsample': 0.6}",-5.5799155152747355,-10.050687666722245,-24.28157683839514,-13.304060006797373,7.973972566985201,76
0.07321079572041829,0.007677524877308903,0.014589627583821615,0.0012922865034346205,0.6,0.01,3,200,0.8,"{'colsample_bytree': 0.6, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 200, 'subsample': 0.8}",-5.993353121887343,-10.171635512149157,-24.710816248474796,-13.625268294170432,8.022116969918404,102
0.0692594051361084,0.0045393493474357935,0.015206178029378256,0.0023644284374628277,0.6,0.01,3,200,1.0,"{'colsample_bytree': 0.6, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 200, 'subsample': 1.0}",-5.909847986626166,-11.781036746910043,-24.29496497581503,-13.995283236450414,7.667259280597888,167
0.17277971903483072,0.017481995272465644,0.013592243194580078,0.00445342462778334,0.6,0.01,3,500,0.6,"{'colsample_bytree': 0.6, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 500, 'subsample': 0.6}",-6.399833037027757,-8.067969459731936,-26.66232536893676,-13.710042621898817,9.183931295133569,115
0.17186395327250162,0.0014734015664944501,0.012505769729614258,0.0029905366393712493,0.6,0.01,3,500,0.8,"{'colsample_bytree': 0.6, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 500, 'subsample': 0.8}",-6.972302227811551,-8.815330692435401,-27.217614019901443,-14.335082313382799,9.140346669481309,217
0.16417694091796875,0.007828108597866253,0.014570395151774088,0.004185206358018232,0.6,0.01,3,500,1.0,"{'colsample_bytree': 0.6, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 500, 'subsample': 1.0}",-7.007381040067169,-11.082780548103083,-27.090115764052825,-15.060092450741024,8.667691579524654,352
0.04107125600179037,0.0006751674408874801,0.01885223388671875,0.0031055600772238894,0.6,0.01,5,50,0.6,"{'colsample_bytree': 0.6, 'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 50, 'subsample': 0.6}",-3.967123044684958,-14.755739572691487,-17.825866267432772,-12.18290962826974,5.943107008442611,19
0.0399481455485026,0.005674410348085845,0.012280464172363281,0.00322497152254168,0.6,0.01,5,50,0.8,"{'colsample_bytree': 0.6, 'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 50, 'subsample': 0.8}",-4.08176178833749,-14.474389219477855,-17.89492938013376,-12.150360129316368,5.8737684177877,16
0.04347332318623861,0.002272613444182151,0.010054270426432291,0.0014341288808469358,0.6,0.01,5,50,1.0,"{'colsample_bytree': 0.6, 'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 50, 'subsample': 1.0}",-4.229315984143232,-13.8738293744746,-17.512056206739672,-11.871733855119167,5.60440819395546,2
0.05491741498311361,0.004183066829262901,0.01251967748006185,0.00339570879779141,0.6,0.01,5,100,0.6,"{'colsample_bytree': 0.6, 'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 100, 'subsample': 0.6}",-4.64207444538563,-12.369637719889303,-20.841850877869508,-12.617854347714813,6.615859618440213,45
