mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bytree,param_learning_rate,param_max_depth,param_n_estimators,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0.027153730392456055,0.003411182422522666,0.009866952896118164,0.0012420816725792383,0.6,0.01,3,50,0.6,"{'colsample_bytree': 0.6, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 50, 'subsample': 0.6}",-9.80601710135484,-30.83972694144361,-36.393421903028134,-25.679721981942198,11.451106552310987,23
0.034122308095296226,0.0099456958471311,0.016301790873209637,0.0005803993755352535,0.6,0.01,3,50,0.8,"{'colsample_bytree': 0.6, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 50, 'subsample': 0.8}",-9.879384518174367,-30.21177827416033,-36.28476799699351,-25.458643596442737,11.291745838273927,16
0.0354620615641276,0.0026766620522803188,0.010565042495727539,0.003927407575111527,0.6,0.01,3,50,1.0,"{'colsample_bytree': 0.6, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 50, 'subsample': 1.0}",-9.891486327971165,-30.589180606844934,-36.379530940267074,-25.620065958361057,11.370230198141032,22
0.04016264279683431,0.007708539936150407,0.012113094329833984,0.004270928064784715,0.6,0.01,3,100,0.6,"{'colsample_bytree': 0.6, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 100, 'subsample': 0.6}",-10.533090062855624,-27.886686146936153,-43.019423070846,-27.146399760212592,13.272816230358135,50
0.04932403564453125,0.0037140371544721936,0.011409997940063477,0.002399671103360666,0.6,0.01,3,100,0.8,"{'colsample_bytree': 0.6, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 100, 'subsample': 0.8}",-10.528382444306683,-27.116368470333708,-43.08240215753144,-26.909051024057277,13.290931376065021,40
0.044913291931152344,0.0029470067218514903,0.014346679051717123,0.0037287207199176576,0.6,0.01,3,100,1.0,"{'colsample_bytree': 0.6, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 100, 'subsample': 1.0}",-10.673644332710765,-27.55026955787154,-43.220802832484225,-27.148238907688846,13.290362500326035,51
0.07236639658610027,0.00421989789794162,0.013929367065429688,0.0007101515802139988,0.6,0.01,3,200,0.6,"{'colsample_bytree': 0.6, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 200, 'subsample': 0.6}",-11.913245736393629,-23.763203411747742,-50.22924481417856,-28.63523132077331,16.01731226500349,72
0.07979814211527507,0.007268448360027539,0.01410984992980957,0.001369050067745163,0.6,0.01,3,200,0.8,"{'colsample_bytree': 0.6, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 200, 'subsample': 0.8}",-11.608130384194023,-23.678543695752385,-51.260077024668995,-28.8489170348718,16.59555740641003,80
0.07169858614603679,0.008280863539622268,0.01186664899190267,0.002893346217122236,0.6,0.01,3,200,1.0,"{'colsample_bytree': 0.6, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 200, 'subsample': 1.0}",-11.895193667279909,-25.843029646057406,-52.22018336179491,-29.98613555837741,16.721247828560543,129
0.15684930483500162,0.004423420124071748,0.011268218358357748,0.003910305518459252,0.6,0.01,3,500,0.6,"{'colsample_bytree': 0.6, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 500, 'subsample': 0.6}",-13.533801690435634,-19.19244355004584,-55.12216919095047,-29.282804810477316,18.416652258467643,96
0.16913398106892905,0.009052812937469411,0.015606880187988281,0.007746983116556744,0.6,0.01,3,500,0.8,"{'colsample_bytree': 0.6, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 500, 'subsample': 0.8}",-13.050178070337632,-20.173647836197325,-55.76984910471249,-29.664558337082482,18.68690468256957,115
0.1595153013865153,0.010817549575272992,0.01347804069519043,0.0019209646061275928,0.6,0.01,3,500,1.0,"{'colsample_bytree': 0.6, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 500, 'subsample': 1.0}",-13.36534420295404,-23.542810723971385,-57.37718862859675,-31.428447851840726,18.813081745088404,199
0.035234292348225914,0.0011967640645635103,0.01789100964864095,0.007093479923171145,0.6,0.01,5,50,0.6,"{'colsample_bytree': 0.6, 'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 50, 'subsample': 0.6}",-9.897524476541438,-30.023033382623648,-36.26206643155103,-25.394208096905373,11.249941800401869,8
0.033666372299194336,0.0026448811594323098,0.01487127939860026,0.0008801734850362793,0.6,0.01,5,50,0.8,"{'colsample_bytree': 0.6, 'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 50, 'subsample': 0.8}",-10.005179690084104,-29.44895475115029,-36.24207075588736,-25.232068399040585,11.118459458026354,1
0.04813472429911295,0.005211149290520951,0.012126763661702475,0.004482517786498635,0.6,0.01,5,50,1.0,"{'colsample_bytree': 0.6, 'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 50, 'subsample': 1.0}",-10.037081450278393,-30.012687347913243,-36.3762496220164,-25.47533947340268,11.221366206052876,18
0.05159513155619303,0.001049762361525187,0.007962624231974283,2.1664482306260235e-05,0.6,0.01,5,100,0.6,"{'colsample_bytree': 0.6, 'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 100, 'subsample': 0.6}",-10.845120731096689,-27.55282455584778,-43.05570977433135,-27.151218353758605,13.15298387652537,52
