mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_learning_rate,param_max_depth,param_min_samples_leaf,param_min_samples_split,param_n_estimators,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0.23540441195170084,0.01154343666759435,0.0015972455342610676,0.0007895481303107475,0.01,3,1,5,200,1.0,"{'learning_rate': 0.01, 'max_depth': 3, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 200, 'subsample': 1.0}",-10.261194335922408,-24.46949099657079,-58.33504151654128,-31.02190894967816,20.165553657338993,224
0.051287571589152016,0.005991689468256784,0.00039839744567871094,2.0245467285271526e-05,0.01,3,1,10,50,0.6,"{'learning_rate': 0.01, 'max_depth': 3, 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 50, 'subsample': 0.6}",-9.593841377541727,-33.22625576249419,-38.560747155812976,-27.1269480986163,12.587601653367512,58
0.06475472450256348,0.005964107785956064,0.00039394696553548175,1.5144532979525363e-05,0.01,3,1,10,50,0.8,"{'learning_rate': 0.01, 'max_depth': 3, 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 50, 'subsample': 0.8}",-9.776933161429897,-32.4710803513758,-37.216655915551875,-26.488223142785856,11.974431969535544,8
0.06979910532633464,0.0031266336292280652,0.0006672541300455729,0.0003923136646251901,0.01,3,1,10,50,1.0,"{'learning_rate': 0.01, 'max_depth': 3, 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 50, 'subsample': 1.0}",-9.864765784624565,-32.42609785449853,-37.90639112030665,-26.732418253143248,12.135256580692444,35
0.0902242660522461,0.0038641292683089293,0.00047548611958821613,1.088110865452754e-05,0.01,3,1,10,100,0.6,"{'learning_rate': 0.01, 'max_depth': 3, 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 100, 'subsample': 0.6}",-9.530085644651363,-28.74231443647028,-47.483917275566775,-28.585439118896137,15.494983946768425,99
0.10874676704406738,0.004749447835051572,0.0006615320841471354,0.00026541419966538633,0.01,3,1,10,100,0.8,"{'learning_rate': 0.01, 'max_depth': 3, 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 100, 'subsample': 0.8}",-9.882348115034121,-28.763005271646506,-45.76541243101576,-28.136921939232128,14.655887586690522,82
0.11804238955179851,0.008396435778154868,0.0006625652313232422,0.0002739323300505574,0.01,3,1,10,100,1.0,"{'learning_rate': 0.01, 'max_depth': 3, 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 100, 'subsample': 1.0}",-9.768165351831254,-29.72370348248195,-47.44586870655807,-28.979245846957095,15.390862990749122,122
0.21652563412984213,0.06052531672067457,0.0008960564931233724,0.000359287666506253,0.01,3,1,10,200,0.6,"{'learning_rate': 0.01, 'max_depth': 3, 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 200, 'subsample': 0.6}",-10.054021462573303,-23.033820235671815,-56.709307647488075,-29.932383115244395,19.661664215788676,164
0.25708746910095215,0.01579396322789767,0.0006372928619384766,3.565294563658645e-05,0.01,3,1,10,200,0.8,"{'learning_rate': 0.01, 'max_depth': 3, 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 200, 'subsample': 0.8}",-10.572825913057303,-23.717367078107,-55.10019557893625,-29.79679619003352,18.679601282069953,158
0.25819142659505206,0.010736809262132179,0.0008846124013264974,0.0004019860897623481,0.01,3,1,10,200,1.0,"{'learning_rate': 0.01, 'max_depth': 3, 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 200, 'subsample': 1.0}",-10.261194335922408,-24.35275212584128,-58.33504151654128,-30.982995992768323,20.178268772577542,219
0.04265205065409342,0.004336975767703919,0.0003960927327473958,3.865682763104537e-06,0.01,3,2,2,50,0.6,"{'learning_rate': 0.01, 'max_depth': 3, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 50, 'subsample': 0.6}",-9.556257971234594,-33.27260596707126,-38.560578423821696,-27.12981412070918,12.61250886963388,59
0.06637970606486003,0.017740200821199828,0.000394900639851888,5.788985523056766e-06,0.01,3,2,2,50,0.8,"{'learning_rate': 0.01, 'max_depth': 3, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 50, 'subsample': 0.8}",-9.776933161429897,-32.381578966958145,-37.32097619686034,-26.493162775082794,11.990931590747122,9
0.06087303161621094,0.00601330209048725,0.00040229161580403644,3.0492939871114125e-05,0.01,3,2,2,50,1.0,"{'learning_rate': 0.01, 'max_depth': 3, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 50, 'subsample': 1.0}",-9.864765784624565,-32.42609785449853,-37.90639112030665,-26.732418253143248,12.135256580692444,35
0.0973505973815918,0.015969052022010488,0.0005034605662027994,2.9690745554200362e-05,0.01,3,2,2,100,0.6,"{'learning_rate': 0.01, 'max_depth': 3, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 100, 'subsample': 0.6}",-9.580645582630124,-29.400799860918653,-47.20691174749937,-28.729452397016047,15.368192410307778,104
0.12743671735127768,0.012326753155481348,0.0012412865956624348,0.0010902610482038104,0.01,3,2,2,100,0.8,"{'learning_rate': 0.01, 'max_depth': 3, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 100, 'subsample': 0.8}",-9.882348115034121,-29.1225139802305,-45.943342019095795,-28.316068038120136,14.732879026864891,88
0.13357170422871908,0.024989530989548866,0.0010003248850504558,0.0004487156035937909,0.01,3,2,2,100,1.0,"{'learning_rate': 0.01, 'max_depth': 3, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 100, 'subsample': 1.0}",-9.768165351831254,-29.72370348248195,-47.44586870655807,-28.979245846957095,15.390862990749122,122
0.1986856460571289,0.022388899502073158,0.0008920033772786459,0.0003737941727502601,0.01,3,2,2,200,0.6,"{'learning_rate': 0.01, 'max_depth': 3, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 200, 'subsample': 0.6}",-10.174177091977576,-23.933725584378163,-55.97895623414863,-30.02895297016812,19.18998516117422,173
0.23779924710591635,0.017553033834463976,0.000621795654296875,6.503191803448608e-06,0.01,3,2,2,200,0.8,"{'learning_rate': 0.01, 'max_depth': 3, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 200, 'subsample': 0.8}",-10.593622431515678,-24.00730638118949,-55.05485050044474,-29.88525977104997,18.62100878737706,161
0.316231648127238,0.06401566599624521,0.0006430149078369141,3.09399591019216e-05,0.01,3,2,2,200,1.0,"{'learning_rate': 0.01, 'max_depth': 3, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 200, 'subsample': 1.0}",-10.261194335922408,-24.46949099657079,-58.33504151654128,-31.02190894967816,20.165553657338993,224
0.049285332361857094,0.01509321525438426,0.000576019287109375,0.0002315757584647003,0.01,3,2,5,50,0.6,"{'learning_rate': 0.01, 'max_depth': 3, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 50, 'subsample': 0.6}",-9.556257971234594,-33.27260596707126,-38.560578423821696,-27.12981412070918,12.61250886963388,59
0.054941654205322266,0.0045564935877718885,0.0005575815836588541,0.00023743604491471474,0.01,3,2,5,50,0.8,"{'learning_rate': 0.01, 'max_depth': 3, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 50, 'subsample': 0.8}",-9.776933161429897,-32.381578966958145,-37.32097619686034,-26.493162775082794,11.990931590747122,9
0.06197420756022135,0.002790614393076197,0.0014278093973795574,0.0014063528255566988,0.01,3,2,5,50,1.0,"{'learning_rate': 0.01, 'max_depth': 3, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 50, 'subsample': 1.0}",-9.864765784624565,-32.42609785449853,-37.90639112030665,-26.732418253143248,12.135256580692444,35
0.0995923678080241,0.020696406198195613,0.0004719098409016927,1.3600776332398354e-05,0.01,3,2,5,100,0.6,"{'learning_rate': 0.01, 'max_depth': 3, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 100, 'subsample': 0.6}",-9.580645582630124,-29.45046038414345,-46.366100536512405,-28.465735501095327,15.033732877820604,91
0.14064510663350424,0.02286031601424297,0.00047461191813151043,4.000572506158581e-06,0.01,3,2,5,100,0.8,"{'learning_rate': 0.01, 'max_depth': 3, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 100, 'subsample': 0.8}",-9.882348115034121,-29.1225139802305,-45.943342019095795,-28.316068038120136,14.732879026864891,88
0.1307073434193929,0.026284636473936664,0.00046833356221516925,8.148972027211882e-06,0.01,3,2,5,100,1.0,"{'learning_rate': 0.01, 'max_depth': 3, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 100, 'subsample': 1.0}",-9.768165351831254,-29.72370348248195,-47.44586870655807,-28.979245846957095,15.390862990749122,122
0.19261487325032553,0.025373070009051254,0.0009144147237141927,0.00040285193158534513,0.01,3,2,5,200,0.6,"{'learning_rate': 0.01, 'max_depth': 3, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 200, 'subsample': 0.6}",-10.20777119083855,-23.880564487727465,-55.26029513565274,-29.782876938072917,18.86019525607023,157
0.20189833641052246,0.03207962289448503,0.0014473597208658855,0.0001979604009438827,0.01,3,2,5,200,0.8,"{'learning_rate': 0.01, 'max_depth': 3, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 200, 'subsample': 0.8}",-10.593622431515678,-24.133768227803976,-55.10621209199755,-29.944534250439066,18.63091357391378,166
0.24348576863606772,0.015681016590738728,0.0006369749704996744,3.7253533463970884e-05,0.01,3,2,5,200,1.0,"{'learning_rate': 0.01, 'max_depth': 3, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 200, 'subsample': 1.0}",-10.261194335922408,-24.46949099657079,-58.33504151654128,-31.02190894967816,20.165553657338993,224
0.04854400952657064,0.0044560420159513465,0.00045680999755859375,0.00010413025267123178,0.01,3,2,10,50,0.6,"{'learning_rate': 0.01, 'max_depth': 3, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 50, 'subsample': 0.6}",-9.506616842803995,-33.394013230430716,-38.44542941189736,-27.115353161710686,12.620879457501726,57
0.0541070302327474,0.0034481325520891682,0.0003706614176432292,5.663242896817483e-06,0.01,3,2,10,50,0.8,"{'learning_rate': 0.01, 'max_depth': 3, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 50, 'subsample': 0.8}",-9.776933161429897,-32.526849749175156,-37.216655915551875,-26.506812942052306,11.983745340393524,13
0.06171536445617676,0.0034337469928771855,0.00038321812947591144,7.411030595699798e-06,0.01,3,2,10,50,1.0,"{'learning_rate': 0.01, 'max_depth': 3, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 50, 'subsample': 1.0}",-9.864765784624565,-32.42609785449853,-37.90639112030665,-26.732418253143248,12.135256580692444,35
0.08517066637674968,0.0034601405376214825,0.0007193088531494141,0.00036940577005458743,0.01,3,2,10,100,0.6,"{'learning_rate': 0.01, 'max_depth': 3, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 100, 'subsample': 0.6}",-9.709285525927505,-29.236902417703245,-46.60842482164441,-28.518204255091717,15.072580302829943,96
0.10664598147074382,0.010329955380371014,0.0006509621938069662,0.00026382107175102886,0.01,3,2,10,100,0.8,"{'learning_rate': 0.01, 'max_depth': 3, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 100, 'subsample': 0.8}",-9.882348115034121,-28.767609820375096,-45.76541243101576,-28.138456788808327,14.655953314360369,83
0.11305920282999675,0.0064486038258274115,0.0004703203837076823,1.7438091270652502e-05,0.01,3,2,10,100,1.0,"{'learning_rate': 0.01, 'max_depth': 3, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 100, 'subsample': 1.0}",-9.768165351831254,-29.72370348248195,-47.44586870655807,-28.979245846957095,15.390862990749122,122
0.19099926948547363,0.01045933780225278,0.0006660620371500651,1.4866736171792366e-05,0.01,3,2,10,200,0.6,"{'learning_rate': 0.01, 'max_depth': 3, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 200, 'subsample': 0.6}",-10.520218202013798,-23.615054808622208,-54.807085000557066,-29.647452670397694,18.576400991222595,151
0.22637025515238443,0.01720156410473218,0.0009411176045735677,0.000314184811663487,0.01,3,2,10,200,0.8,"{'learning_rate': 0.01, 'max_depth': 3, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 200, 'subsample': 0.8}",-10.550069816908971,-23.669157363986873,-55.10019557893625,-29.77314091994403,18.692643611710967,156
