mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_alpha,param_eta0,param_learning_rate,param_loss,param_max_iter,param_penalty,param_tol,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0.004314740498860677,0.0033025461845114096,0.00035254160563151043,0.00022006274502488137,0.0001,0.001,constant,squared_error,5000,l2,0.0001,"{'alpha': 0.0001, 'eta0': 0.001, 'learning_rate': 'constant', 'loss': 'squared_error', 'max_iter': 5000, 'penalty': 'l2', 'tol': 0.0001}",-3159.6036832205523,-2583.3919164022445,-2080.7510822090376,-2607.915560610611,440.78096640793643,1282
0.0058557987213134766,0.0019113232902740938,0.0003829002380371094,0.00018115555531002947,0.0001,0.001,constant,squared_error,5000,l1,0.001,"{'alpha': 0.0001, 'eta0': 0.001, 'learning_rate': 'constant', 'loss': 'squared_error', 'max_iter': 5000, 'penalty': 'l1', 'tol': 0.001}",-3159.5808370507943,-2583.7310263214927,-2080.8326398977033,-2608.0481677566636,440.732655730542,1294
0.005831241607666016,0.004003825352648846,0.00024135907491048178,7.328035488213326e-05,0.0001,0.001,constant,squared_error,5000,l1,0.0001,"{'alpha': 0.0001, 'eta0': 0.001, 'learning_rate': 'constant', 'loss': 'squared_error', 'max_iter': 5000, 'penalty': 'l1', 'tol': 0.0001}",-3159.5808370507943,-2583.7310263214927,-2080.8326398977033,-2608.0481677566636,440.732655730542,1294
0.010360320409138998,0.003325465739092586,0.004029591878255208,0.004791560983973652,0.0001,0.001,constant,squared_error,5000,elasticnet,0.001,"{'alpha': 0.0001, 'eta0': 0.001, 'learning_rate': 'constant', 'loss': 'squared_error', 'max_iter': 5000, 'penalty': 'elasticnet', 'tol': 0.001}",-3159.6000619688234,-2583.4310165257143,-2080.7634552207614,-2607.9315112384334,440.7737981442742,1288
0.007532358169555664,0.003458095025697206,0.0003246466318766276,0.00012377978901728163,0.0001,0.001,constant,squared_error,5000,elasticnet,0.0001,"{'alpha': 0.0001, 'eta0': 0.001, 'learning_rate': 'constant', 'loss': 'squared_error', 'max_iter': 5000, 'penalty': 'elasticnet', 'tol': 0.0001}",-3159.6000619688234,-2583.4310165257143,-2080.7634552207614,-2607.9315112384334,440.7737981442742,1288
0.02256464958190918,0.008796082705007301,0.0002586841583251953,5.715817134250057e-05,0.0001,0.001,constant,huber,1000,l2,0.001,"{'alpha': 0.0001, 'eta0': 0.001, 'learning_rate': 'constant', 'loss': 'huber', 'max_iter': 1000, 'penalty': 'l2', 'tol': 0.001}",-2886.938315874475,-2844.6949824750186,-2134.082348053763,-2621.9052154677524,345.3736983647127,1348
0.048430283864339195,0.023874339710014982,0.0004012584686279297,0.0001606645236125772,0.0001,0.001,constant,huber,1000,l2,0.0001,"{'alpha': 0.0001, 'eta0': 0.001, 'learning_rate': 'constant', 'loss': 'huber', 'max_iter': 1000, 'penalty': 'l2', 'tol': 0.0001}",-3075.2742741901184,-2939.9383136467936,-2147.172373400899,-2720.7949870792704,409.358142092757,1519
0.04895639419555664,0.020477387222072485,0.0004410743713378906,0.00012374314722798487,0.0001,0.001,constant,huber,1000,l1,0.001,"{'alpha': 0.0001, 'eta0': 0.001, 'learning_rate': 'constant', 'loss': 'huber', 'max_iter': 1000, 'penalty': 'l1', 'tol': 0.001}",-2892.16629888306,-2841.3165361980014,-2133.0037309702952,-2622.1621886837856,346.5096652387078,1351
0.07207576433817546,0.04561822984432758,0.00036263465881347656,0.00013078311294211384,0.0001,0.001,constant,huber,1000,l1,0.0001,"{'alpha': 0.0001, 'eta0': 0.001, 'learning_rate': 'constant', 'loss': 'huber', 'max_iter': 1000, 'penalty': 'l1', 'tol': 0.0001}",-3068.3484312789265,-2942.167289095039,-2143.0399745870723,-2717.851898320346,409.7047562250713,1510
0.035055955251057945,0.011065190102704922,0.000394741694132487,0.00022132311072382477,0.0001,0.001,constant,huber,1000,elasticnet,0.001,"{'alpha': 0.0001, 'eta0': 0.001, 'learning_rate': 'constant', 'loss': 'huber', 'max_iter': 1000, 'penalty': 'elasticnet', 'tol': 0.001}",-2896.152562438128,-2844.192961655096,-2133.7715185509423,-2624.7056808813886,347.79037157048674,1360
0.06305090586344402,0.027476816137200596,0.0002907117207845052,4.050278761494328e-05,0.0001,0.001,constant,huber,1000,elasticnet,0.0001,"{'alpha': 0.0001, 'eta0': 0.001, 'learning_rate': 'constant', 'loss': 'huber', 'max_iter': 1000, 'penalty': 'elasticnet', 'tol': 0.0001}",-3074.212934678634,-2939.556958611623,-2146.546765568544,-2720.1055529529335,409.2760436934374,1516
0.01396036148071289,0.007157312579442538,0.0002384185791015625,6.464529733715272e-05,0.0001,0.001,constant,huber,2000,l2,0.001,"{'alpha': 0.0001, 'eta0': 0.001, 'learning_rate': 'constant', 'loss': 'huber', 'max_iter': 2000, 'penalty': 'l2', 'tol': 0.001}",-2886.938315874475,-2844.6949824750186,-2134.082348053763,-2621.9052154677524,345.3736983647127,1348
0.03958702087402344,0.02735390714022359,0.00028634071350097656,1.1930461886593632e-05,0.0001,0.001,constant,huber,2000,l2,0.0001,"{'alpha': 0.0001, 'eta0': 0.001, 'learning_rate': 'constant', 'loss': 'huber', 'max_iter': 2000, 'penalty': 'l2', 'tol': 0.0001}",-3075.2742741901184,-2939.9383136467936,-2147.172373400899,-2720.7949870792704,409.358142092757,1519
0.03385432561238607,0.010114851861026324,0.0005620320638020834,0.0001983190078863214,0.0001,0.001,constant,huber,2000,l1,0.001,"{'alpha': 0.0001, 'eta0': 0.001, 'learning_rate': 'constant', 'loss': 'huber', 'max_iter': 2000, 'penalty': 'l1', 'tol': 0.001}",-2892.16629888306,-2841.3165361980014,-2133.0037309702952,-2622.1621886837856,346.5096652387078,1351
0.05986158053080241,0.023424251569052,0.0005635420481363932,0.00016274058604877435,0.0001,0.001,constant,huber,2000,l1,0.0001,"{'alpha': 0.0001, 'eta0': 0.001, 'learning_rate': 'constant', 'loss': 'huber', 'max_iter': 2000, 'penalty': 'l1', 'tol': 0.0001}",-3068.3484312789265,-2942.167289095039,-2143.0399745870723,-2717.851898320346,409.7047562250713,1510
0.03643139203389486,0.021169137416125954,0.00043400128682454425,0.00020717283468890967,0.0001,0.001,constant,huber,2000,elasticnet,0.001,"{'alpha': 0.0001, 'eta0': 0.001, 'learning_rate': 'constant', 'loss': 'huber', 'max_iter': 2000, 'penalty': 'elasticnet', 'tol': 0.001}",-2896.152562438128,-2844.192961655096,-2133.7715185509423,-2624.7056808813886,347.79037157048674,1360
0.058021863301595054,0.013076912633290184,0.00036072731018066406,4.118688142184119e-05,0.0001,0.001,constant,huber,2000,elasticnet,0.0001,"{'alpha': 0.0001, 'eta0': 0.001, 'learning_rate': 'constant', 'loss': 'huber', 'max_iter': 2000, 'penalty': 'elasticnet', 'tol': 0.0001}",-3074.212934678634,-2939.556958611623,-2146.546765568544,-2720.1055529529335,409.2760436934374,1516
0.014993031819661459,0.006458231319333328,0.00039919217427571613,0.00023951986067071218,0.0001,0.001,constant,huber,5000,l2,0.001,"{'alpha': 0.0001, 'eta0': 0.001, 'learning_rate': 'constant', 'loss': 'huber', 'max_iter': 5000, 'penalty': 'l2', 'tol': 0.001}",-2886.938315874475,-2844.6949824750186,-2134.082348053763,-2621.9052154677524,345.3736983647127,1348
0.031825860341389976,0.011992291619926208,0.0004268487294514974,0.00019328345193813363,0.0001,0.001,constant,huber,5000,l2,0.0001,"{'alpha': 0.0001, 'eta0': 0.001, 'learning_rate': 'constant', 'loss': 'huber', 'max_iter': 5000, 'penalty': 'l2', 'tol': 0.0001}",-3075.2742741901184,-2939.9383136467936,-2147.172373400899,-2720.7949870792704,409.358142092757,1519
0.02817511558532715,0.011620623605788954,0.0006563663482666016,0.00010380676668240828,0.0001,0.001,constant,huber,5000,l1,0.001,"{'alpha': 0.0001, 'eta0': 0.001, 'learning_rate': 'constant', 'loss': 'huber', 'max_iter': 5000, 'penalty': 'l1', 'tol': 0.001}",-2892.16629888306,-2841.3165361980014,-2133.0037309702952,-2622.1621886837856,346.5096652387078,1351
0.049959421157836914,0.018941423920551995,0.00031256675720214844,2.7421937209164168e-05,0.0001,0.001,constant,huber,5000,l1,0.0001,"{'alpha': 0.0001, 'eta0': 0.001, 'learning_rate': 'constant', 'loss': 'huber', 'max_iter': 5000, 'penalty': 'l1', 'tol': 0.0001}",-3068.3484312789265,-2942.167289095039,-2143.0399745870723,-2717.851898320346,409.7047562250713,1510
0.027193625768025715,0.010447103787400696,0.0002803802490234375,3.082952900978677e-05,0.0001,0.001,constant,huber,5000,elasticnet,0.001,"{'alpha': 0.0001, 'eta0': 0.001, 'learning_rate': 'constant', 'loss': 'huber', 'max_iter': 5000, 'penalty': 'elasticnet', 'tol': 0.001}",-2896.152562438128,-2844.192961655096,-2133.7715185509423,-2624.7056808813886,347.79037157048674,1360
0.06042273839314779,0.028389087827031746,0.0009386539459228516,0.0002483385590667672,0.0001,0.001,constant,huber,5000,elasticnet,0.0001,"{'alpha': 0.0001, 'eta0': 0.001, 'learning_rate': 'constant', 'loss': 'huber', 'max_iter': 5000, 'penalty': 'elasticnet', 'tol': 0.0001}",-3074.212934678634,-2939.556958611623,-2146.546765568544,-2720.1055529529335,409.2760436934374,1516
0.004947264989217122,0.0011182065257283387,0.00041604042053222656,0.00020919433608978448,0.0001,0.001,constant,epsilon_insensitive,1000,l2,0.001,"{'alpha': 0.0001, 'eta0': 0.001, 'learning_rate': 'constant', 'loss': 'epsilon_insensitive', 'max_iter': 1000, 'penalty': 'l2', 'tol': 0.001}",-3190.2665812862806,-2946.6709385322224,-2184.7202911889167,-2773.885937002473,428.30816627545914,1633
0.005194346110026042,0.0014197039353274197,0.0005130767822265625,0.0001828830580189115,0.0001,0.001,constant,epsilon_insensitive,1000,l2,0.0001,"{'alpha': 0.0001, 'eta0': 0.001, 'learning_rate': 'constant', 'loss': 'epsilon_insensitive', 'max_iter': 1000, 'penalty': 'l2', 'tol': 0.0001}",-3190.2665812862806,-2946.6709385322224,-2147.0501218110376,-2761.3292138765137,445.5998290722142,1609
0.0071599483489990234,0.0014950923227640646,0.00041143099466959637,0.00022040095145192508,0.0001,0.001,constant,epsilon_insensitive,1000,l1,0.001,"{'alpha': 0.0001, 'eta0': 0.001, 'learning_rate': 'constant', 'loss': 'epsilon_insensitive', 'max_iter': 1000, 'penalty': 'l1', 'tol': 0.001}",-3186.3644005665446,-2945.740638949888,-2184.546923628696,-2772.217321048376,426.9990793637157,1627
0.009627342224121094,0.002445991718724309,0.0004870891571044922,0.00012830567697905444,0.0001,0.001,constant,epsilon_insensitive,1000,l1,0.0001,"{'alpha': 0.0001, 'eta0': 0.001, 'learning_rate': 'constant', 'loss': 'epsilon_insensitive', 'max_iter': 1000, 'penalty': 'l1', 'tol': 0.0001}",-3186.3644005665446,-2945.740638949888,-2168.4720055914177,-2766.85901503595,434.37710841127864,1621
