mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_learning_rate,param_max_depth,param_min_samples_leaf,param_min_samples_split,param_n_estimators,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0.028315941492716473,0.0017593574239145374,0.0003777345021565755,1.3757300646012457e-05,0.01,3,1,2,50,0.6,"{'learning_rate': 0.01, 'max_depth': 3, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 50, 'subsample': 0.6}",-9.59137825109206,-32.880151048499165,-37.621505277304024,-26.697678192298415,12.249877094339595,66
0.03942155838012695,0.005490538916474808,0.0008104642232259115,0.00033603728336985777,0.01,3,1,2,50,0.8,"{'learning_rate': 0.01, 'max_depth': 3, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 50, 'subsample': 0.8}",-9.889656168374875,-32.51511001059933,-37.05996835623099,-26.488244845068397,11.882726788326217,50
0.04919703801472982,0.0020985087622384132,0.0007259051005045573,0.0002139419715765705,0.01,3,1,2,50,1.0,"{'learning_rate': 0.01, 'max_depth': 3, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 50, 'subsample': 1.0}",-9.708117443669677,-32.623183773399475,-36.996624419607635,-26.44264187889226,11.967037417458362,35
0.07464965184529622,0.009325664058705553,0.0006630420684814453,0.00027203486740856505,0.01,3,1,2,100,0.6,"{'learning_rate': 0.01, 'max_depth': 3, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100, 'subsample': 0.6}",-9.908299948867844,-28.955766284291407,-45.770950296138444,-28.211672176432568,14.650316936586723,113
0.08554673194885254,0.005024505171655095,0.00046594937642415363,1.2659904322140933e-05,0.01,3,1,2,100,0.8,"{'learning_rate': 0.01, 'max_depth': 3, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100, 'subsample': 0.8}",-9.95828793663602,-28.82063474139282,-45.436425437637546,-28.07178270522213,14.493565116148392,107
0.09573300679524739,0.004341466509536823,0.0007169246673583984,0.00033831324743139696,0.01,3,1,2,100,1.0,"{'learning_rate': 0.01, 'max_depth': 3, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100, 'subsample': 1.0}",-9.693772642732345,-29.99573371333058,-45.16449217147192,-28.284666175844947,14.5313179044436,122
0.15831311543782553,0.006501334636146879,0.00090789794921875,0.00039148088687546785,0.01,3,1,2,200,0.6,"{'learning_rate': 0.01, 'max_depth': 3, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200, 'subsample': 0.6}",-10.813991913672877,-23.723435023731643,-53.79919509846698,-29.445540678623832,18.009049448426758,201
0.18268569310506186,0.015440599332805265,0.0009176731109619141,0.0004084998839718998,0.01,3,1,2,200,0.8,"{'learning_rate': 0.01, 'max_depth': 3, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200, 'subsample': 0.8}",-10.676780225522974,-23.911800986454203,-54.60341020485073,-29.7306638056093,18.398941612971534,232
0.19231565793355307,0.004898582394403919,0.0008563995361328125,0.0003555538116674072,0.01,3,1,2,200,1.0,"{'learning_rate': 0.01, 'max_depth': 3, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200, 'subsample': 1.0}",-10.364267726605519,-24.576948436268655,-54.98360609111222,-29.9749407513288,18.611377878360166,287
0.03695003191630045,0.0020484126088228124,0.0006047089894612631,0.0003127975635778278,0.01,3,1,5,50,0.6,"{'learning_rate': 0.01, 'max_depth': 3, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 50, 'subsample': 0.6}",-9.59137825109206,-32.880151048499165,-37.621505277304024,-26.697678192298415,12.249877094339595,66
0.04626727104187012,0.0012401276024351115,0.0006206830342610677,0.0003438830402991588,0.01,3,1,5,50,0.8,"{'learning_rate': 0.01, 'max_depth': 3, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 50, 'subsample': 0.8}",-9.889656168374875,-32.51511001059933,-37.05996835623099,-26.488244845068397,11.882726788326217,50
0.04662402470906576,0.004396599439162223,0.000375668207804362,2.7873115815204587e-05,0.01,3,1,5,50,1.0,"{'learning_rate': 0.01, 'max_depth': 3, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 50, 'subsample': 1.0}",-9.708117443669677,-32.623183773399475,-36.996624419607635,-26.44264187889226,11.967037417458362,35
0.07422494888305664,0.0017276109112344307,0.0006527105967203776,0.00025711652760371234,0.01,3,1,5,100,0.6,"{'learning_rate': 0.01, 'max_depth': 3, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 100, 'subsample': 0.6}",-9.908299948867844,-28.89731167681849,-45.88818813173451,-28.231266585806946,14.696276182769168,114
