mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0.08359805742899577,0.009166394469433514,0.005911350250244141,0.0014541817131300486,10,sqrt,1,2,100,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}",-11.633952107422704,-20.037884343483665,-57.53365887295046,-29.73516510795228,19.95367486553222,102
0.16394591331481934,0.0034084347419108736,0.0068205992380778,0.0012490549095222944,10,sqrt,1,2,200,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}",-11.630195272543029,-20.123412958699383,-58.060804883430116,-29.938137704890845,20.18575394665385,108
0.24151031176249185,0.006973570624091347,0.011203924814860025,0.0010973404516866558,10,sqrt,1,2,300,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 300}",-11.485746634946958,-20.055899305738446,-57.744933342348894,-29.762193094344767,20.093733567800374,105
0.07378768920898438,0.0040742490509780415,0.003512223561604818,0.00023656716996931252,10,sqrt,1,5,100,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 100}",-11.987991891398206,-17.08845777853124,-56.980282232638395,-28.685577300855943,20.115440726780466,66
0.14816689491271973,0.007022411971442901,0.007142384847005208,0.0032638554802702693,10,sqrt,1,5,200,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 200}",-11.793094919746133,-17.060964645227074,-58.03387034431974,-28.96264330309765,20.66865249797176,83
0.21874245007832846,0.010120229643481951,0.008059024810791016,0.0023486446221181565,10,sqrt,1,5,300,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 300}",-11.776543157369373,-17.135210241753907,-57.391225957146766,-28.767659785423348,20.357803311762108,72
0.07402102152506511,0.007438510322022549,0.004900693893432617,0.002239008843904942,10,sqrt,1,10,100,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 100}",-11.68130333655225,-16.397774019372058,-57.20353645516011,-28.427537937028138,20.438604681046186,61
0.15095694859822592,0.008526135584733778,0.004826704661051433,0.00015934167656788512,10,sqrt,1,10,200,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 200}",-11.488786030290912,-16.532197084511587,-57.17504851050395,-28.398677208435483,20.451872901217644,58
0.21865948041280112,0.014816752234409645,0.013101816177368164,0.002277304810966954,10,sqrt,1,10,300,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 300}",-11.3574710677864,-16.75988526342373,-56.925334320935775,-28.347563550715304,20.327538897298194,55
0.08035000165303548,0.006876460740180872,0.004413684209187825,0.001178633514504459,10,sqrt,2,2,100,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 100}",-11.96581983095252,-17.851083375675053,-56.24045832125274,-28.685787175960105,19.631675224691122,67
0.14560731252034506,0.008218628195857943,0.0075550079345703125,0.0036585771362870833,10,sqrt,2,2,200,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 200}",-11.792712887304397,-18.531025239665738,-56.93420693397955,-29.085981686983228,19.882889635648688,94
0.21210972468058267,0.008903725458533759,0.0102845827738444,0.002917531197289411,10,sqrt,2,2,300,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 300}",-11.733742435778995,-18.372355545828505,-56.742134380686736,-28.949410787431407,19.83842079660154,82
0.08152325948079427,0.0028662291241924836,0.0036973953247070312,0.0003580736454963943,10,sqrt,2,5,100,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 100}",-12.024425141116978,-18.237726243015324,-56.14194313256127,-28.801364838897857,19.49840495561397,76
0.1498707135518392,0.010101093305690872,0.006349325180053711,0.0013683200286334937,10,sqrt,2,5,200,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 200}",-11.668477634614648,-18.16223550399884,-57.631576104358935,-29.15409641432414,20.310380924358284,97
0.24067934354146323,0.020371222029033433,0.010527690251668295,0.005346775587680205,10,sqrt,2,5,300,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 300}",-11.561161781844225,-18.2905853192128,-57.290488213297984,-29.047411771451667,20.158948558250806,91
0.07925748825073242,0.0031860868997790294,0.003272453943888346,5.9230691006624323e-05,10,sqrt,2,10,100,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 100}",-11.712315157698997,-17.483860774032856,-57.11835010842056,-28.7715086800508,20.182257041342204,73
