mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bytree,param_learning_rate,param_max_depth,param_n_estimators,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0.10383717219034831,0.0027603951413641093,0.046656529108683266,0.040906284967209536,0.6,0.01,5,200,0.8,"{'colsample_bytree': 0.6, 'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 200, 'subsample': 0.8}",-12.551771356758016,-25.613109267533797,-52.557203991097914,-30.240694871796574,16.656721795494697,105
0.10604604085286458,0.005755597093056149,0.013024330139160156,0.002645331876998262,0.6,0.01,5,200,1.0,"{'colsample_bytree': 0.6, 'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 200, 'subsample': 1.0}",-12.932291852078292,-26.998601513557144,-53.09328686892934,-31.008060078188254,16.63897430075953,138
0.22425278027852377,0.006037506957214475,0.013520240783691406,0.002352118859664749,0.6,0.01,5,500,0.6,"{'colsample_bytree': 0.6, 'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 500, 'subsample': 0.6}",-14.028906552782146,-20.855733572581972,-57.000293068763725,-30.62831106470928,18.854928054422906,119
0.22760931650797525,0.006826697508831401,0.016912062962849934,0.0027480652368302564,0.6,0.01,5,500,0.8,"{'colsample_bytree': 0.6, 'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 500, 'subsample': 0.8}",-14.280493226211505,-23.56493257422379,-58.48332392869354,-32.10958324304294,19.03034159471283,200
0.25925469398498535,0.013053817483057199,0.01628700892130534,0.004461739725477691,0.6,0.01,5,500,1.0,"{'colsample_bytree': 0.6, 'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 500, 'subsample': 1.0}",-14.73694543041026,-28.31165048096455,-59.404016749330324,-34.150870886901714,18.696865802663424,316
0.046453634897867836,0.001235309315177778,0.013753890991210938,0.0030791259174021133,0.6,0.01,7,50,0.6,"{'colsample_bytree': 0.6, 'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 50, 'subsample': 0.6}",-9.750979091471946,-30.29228178055383,-36.39763297426102,-25.480297948762267,11.398170381991346,3
0.04689184824625651,0.0023093746738930363,0.01510008176167806,0.0007202775967233195,0.6,0.01,7,50,0.8,"{'colsample_bytree': 0.6, 'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 50, 'subsample': 0.8}",-9.830793773501052,-30.839918124324313,-36.4125651535403,-25.694425683788552,11.445660364431474,8
0.0477135976155599,0.006785311479313232,0.011678695678710938,0.003171597778970274,0.6,0.01,7,50,1.0,"{'colsample_bytree': 0.6, 'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 50, 'subsample': 1.0}",-9.85138372509154,-30.628896043886343,-36.52738157846383,-25.669220449147236,11.441182977066337,4
0.07351160049438477,0.011954643478804138,0.014155705769856771,0.001950153822742821,0.6,0.01,7,100,0.6,"{'colsample_bytree': 0.6, 'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 100, 'subsample': 0.6}",-10.479055969354809,-27.634524623239425,-44.08540798716874,-27.399662859920994,13.720740845455063,38
0.07249967257181804,0.004577310331671722,0.018148263295491535,0.0018366076325945057,0.6,0.01,7,100,0.8,"{'colsample_bytree': 0.6, 'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 100, 'subsample': 0.8}",-10.629287687599158,-28.239306460355543,-43.89580652409963,-27.588133557351444,13.58880270632198,41
0.08073560396830241,0.01154942037312473,0.014652729034423828,0.0034690479064042865,0.6,0.01,7,100,1.0,"{'colsample_bytree': 0.6, 'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 100, 'subsample': 1.0}",-10.70988111159728,-28.108800389585863,-44.13294604832301,-27.650542516502053,13.64875617409461,43
0.1170960267384847,0.015768356391297658,0.014138936996459961,0.004901665146531136,0.6,0.01,7,200,0.6,"{'colsample_bytree': 0.6, 'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 200, 'subsample': 0.6}",-12.201851137287752,-23.58817334569719,-52.163338099088655,-29.317787527357865,16.809748541695704,73
0.11551690101623535,0.00801712148204572,0.02847576141357422,0.011235022960725134,0.6,0.01,7,200,0.8,"{'colsample_bytree': 0.6, 'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 200, 'subsample': 0.8}",-12.451319403431487,-25.344778343129853,-52.587046834262935,-30.12771486027476,16.730740477651263,98
0.11614799499511719,0.007370919705037942,0.012949387232462565,0.0023213815051508105,0.6,0.01,7,200,1.0,"{'colsample_bytree': 0.6, 'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 200, 'subsample': 1.0}",-12.716409945843354,-26.877839899187855,-53.099755262119515,-30.898001702383578,16.729712498551915,131
0.28647033373514813,0.02847528891712231,0.015067021052042643,0.0032181757431124676,0.6,0.01,7,500,0.6,"{'colsample_bytree': 0.6, 'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 500, 'subsample': 0.6}",-13.86570874017613,-20.542437428621458,-57.36835663362395,-30.592167600807176,19.128824686593266,116
0.2790369987487793,0.007592284072008282,0.023833036422729492,0.012784413119576196,0.6,0.01,7,500,0.8,"{'colsample_bytree': 0.6, 'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 500, 'subsample': 0.8}",-14.176618069653129,-23.39056282001746,-58.75272980593366,-32.10663689853475,19.21344832641957,199
0.3099220593770345,0.0365430147068844,0.011011044184366861,0.000538438413326905,0.6,0.01,7,500,1.0,"{'colsample_bytree': 0.6, 'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 500, 'subsample': 1.0}",-14.660271381204218,-26.923374887013647,-59.806482015998036,-33.79670942807197,19.06090465595782,293
0.05506404240926107,0.0040650695151250036,0.01880224545796712,0.008028961150979225,0.6,0.01,10,50,0.6,"{'colsample_bytree': 0.6, 'learning_rate': 0.01, 'max_depth': 10, 'n_estimators': 50, 'subsample': 0.6}",-9.750978769550656,-30.286518274238922,-36.3893737215878,-25.475623588459126,11.394722525901415,2
0.053891658782958984,0.004880291484640933,0.012704292933146158,0.0021561662418707944,0.6,0.01,10,50,0.8,"{'colsample_bytree': 0.6, 'learning_rate': 0.01, 'max_depth': 10, 'n_estimators': 50, 'subsample': 0.8}",-9.830793773501052,-30.83911788018022,-36.412565178189865,-25.694158943957046,11.445540458896353,7
0.06008601188659668,0.01033248273353599,0.015680472056070965,0.00409610760956354,0.6,0.01,10,50,1.0,"{'colsample_bytree': 0.6, 'learning_rate': 0.01, 'max_depth': 10, 'n_estimators': 50, 'subsample': 1.0}",-9.85138372509154,-30.62898865618778,-36.53916731063353,-25.673179897304284,11.444925469923367,5
0.08710869153340657,0.017500155306553102,0.015665690104166668,0.00174122279966723,0.6,0.01,10,100,0.6,"{'colsample_bytree': 0.6, 'learning_rate': 0.01, 'max_depth': 10, 'n_estimators': 100, 'subsample': 0.6}",-10.478630468916819,-27.62283984783617,-44.08239655266182,-27.394622289804932,13.71962915419869,37
