mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_alpha,param_max_iter,param_tol,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0.10070419311523438,0.01056310642076943,0.0006271203358968099,0.00031343864136355756,0.0001,1000,0.0001,"{'alpha': 0.0001, 'max_iter': 1000, 'tol': 0.0001}",-29.610056942805045,-6.750511485536748,-37.59018653062525,-24.650251652989017,13.069586593980418,53
0.07670966784159343,0.05251444864356548,0.0007855892181396484,0.0005700413556190353,0.0001,1000,0.001,"{'alpha': 0.0001, 'max_iter': 1000, 'tol': 0.001}",-29.610056942805045,-6.750511485536748,-37.9626516842379,-24.77440670419323,13.193105746777594,54
0.06722505887349446,0.048483179332150836,0.000421444574991862,0.00013349756255723907,0.0001,1000,0.01,"{'alpha': 0.0001, 'max_iter': 1000, 'tol': 0.01}",-29.610056942805045,-6.750511485536748,-37.511347037080995,-24.623971821807597,13.043594458140777,52
0.13042068481445312,0.02949789866050314,0.005637009938557942,0.0038445263047649464,0.0001,2000,0.0001,"{'alpha': 0.0001, 'max_iter': 2000, 'tol': 0.0001}",-25.248463606583382,-5.43522642008026,-37.00710181288646,-22.563597279850033,13.028231124473253,49
0.1158286730448405,0.07903501582415633,0.0007465680440266927,0.0003196843963672473,0.0001,2000,0.001,"{'alpha': 0.0001, 'max_iter': 2000, 'tol': 0.001}",-25.248463606583382,-5.43522642008026,-37.9626516842379,-22.882113903633847,13.384270787416279,51
0.1059282620747884,0.07384212591373772,0.0003027915954589844,8.743777241875236e-05,0.0001,2000,0.01,"{'alpha': 0.0001, 'max_iter': 2000, 'tol': 0.01}",-25.248463606583382,-5.43522642008026,-37.511347037080995,-22.731679021248212,13.215395868602915,50
0.19351410865783691,0.017306203745678216,0.00048359235127766925,0.00016140830197547673,0.0001,5000,0.0001,"{'alpha': 0.0001, 'max_iter': 5000, 'tol': 0.0001}",-23.18617006990863,-4.950577885038816,-34.24132013343607,-20.792689362794505,12.077070775840932,43
0.16614691416422525,0.11543611420516095,0.00043702125549316406,0.0001633619097466119,0.0001,5000,0.001,"{'alpha': 0.0001, 'max_iter': 5000, 'tol': 0.001}",-23.18617006990863,-4.950577885038816,-37.9626516842379,-22.033133213061785,13.501762221425693,48
0.152101198832194,0.1061509630822168,0.00046936670939127606,0.00025575726984404886,0.0001,5000,0.01,"{'alpha': 0.0001, 'max_iter': 5000, 'tol': 0.01}",-23.325900797731173,-4.950577885038816,-37.511347037080995,-21.92927523995033,13.32951222299927,44
0.039155006408691406,0.0057748668469105955,0.00037670135498046875,0.00014351306618078864,0.001,1000,0.0001,"{'alpha': 0.001, 'max_iter': 1000, 'tol': 0.0001}",-16.02560272448852,-3.9770587178050145,-31.460910326310138,-17.15452392286789,11.248596123181926,38
0.0317232608795166,0.005895019630629952,0.0005695819854736328,0.0001600426335033265,0.001,1000,0.001,"{'alpha': 0.001, 'max_iter': 1000, 'tol': 0.001}",-16.02560272448852,-3.9770587178050145,-33.28643100768649,-17.76303081666001,12.028405776558476,42
0.020804087320963543,0.015197726424520908,0.0004412333170572917,0.0002636357811736363,0.001,1000,0.01,"{'alpha': 0.001, 'max_iter': 1000, 'tol': 0.01}",-23.235264186556304,-4.859260913907461,-37.92769895159422,-22.007408017352663,13.528023300844085,45
0.06251160303751628,0.004388499359246448,0.0003654162089029948,0.00015730740691058967,0.001,2000,0.0001,"{'alpha': 0.001, 'max_iter': 2000, 'tol': 0.0001}",-7.5914437723381925,-3.8297661278582757,-26.863648622984485,-12.761619507726984,10.089201274991087,19
0.04634197552998861,0.025997433955831296,0.0005979537963867188,5.703771071715921e-05,0.001,2000,0.001,"{'alpha': 0.001, 'max_iter': 2000, 'tol': 0.001}",-13.566817814432119,-3.8297661278582757,-33.28643100768649,-16.89433831665896,12.253654447556483,33
0.02486864725748698,0.018234761216729185,0.0005034605662027994,0.00020765061398127297,0.001,2000,0.01,"{'alpha': 0.001, 'max_iter': 2000, 'tol': 0.01}",-23.235264186556304,-4.859260913907461,-37.92769895159422,-22.007408017352663,13.528023300844085,45
0.12301437060038249,0.025675017007298094,0.00046126047770182293,0.0001675286374462397,0.001,5000,0.0001,"{'alpha': 0.001, 'max_iter': 5000, 'tol': 0.0001}",-7.684830347515829,-4.392265482963276,-27.878195321358938,-13.318430383946014,10.382687902509014,20
0.08344944318135579,0.06754707587551637,0.0004399617513020833,0.0001853048067656909,0.001,5000,0.001,"{'alpha': 0.001, 'max_iter': 5000, 'tol': 0.001}",-13.566817814432119,-4.388048254602644,-33.28643100768649,-17.080432358907085,12.056485027051982,37
0.01851058006286621,0.012537762181545486,0.0002493858337402344,4.3014570600196634e-05,0.001,5000,0.01,"{'alpha': 0.001, 'max_iter': 5000, 'tol': 0.01}",-23.235264186556304,-4.859260913907461,-37.92769895159422,-22.007408017352663,13.528023300844085,45
0.030053377151489258,0.0010589275235758362,0.0002486705780029297,1.8570139321562327e-05,0.01,1000,0.0001,"{'alpha': 0.01, 'max_iter': 1000, 'tol': 0.0001}",-7.549224702545179,-6.06775244085037,-27.114675788971308,-13.577217644122285,9.591516035302488,21
0.011005004247029623,0.002909786288044681,0.0004487037658691406,0.00018175013848049956,0.01,1000,0.001,"{'alpha': 0.01, 'max_iter': 1000, 'tol': 0.001}",-7.551189948961352,-6.298603919245347,-27.674066595981298,-13.841286821395999,9.794610428175691,24
0.007004896799723308,0.002107034309182468,0.0006120999654134115,7.783124111196895e-05,0.01,1000,0.01,"{'alpha': 0.01, 'max_iter': 1000, 'tol': 0.01}",-13.75603949120552,-4.871027363694628,-32.579161018645266,-17.06874262451514,11.55178685160097,34
0.03937156995137533,0.010634585544870331,0.0004296302795410156,0.0001512191648191917,0.01,2000,0.0001,"{'alpha': 0.01, 'max_iter': 2000, 'tol': 0.0001}",-7.679157300752149,-6.099737414643885,-27.037790900995887,-13.605561872130641,9.519881802735306,22
0.015013774236043295,0.0037777369079424403,0.0003943443298339844,0.00013814417700527094,0.01,2000,0.001,"{'alpha': 0.01, 'max_iter': 2000, 'tol': 0.001}",-7.551189948961352,-6.298603919245347,-27.674066595981298,-13.841286821395999,9.794610428175691,24
0.006194353103637695,0.004345325025769762,0.00023063023885091147,4.702000175503107e-05,0.01,2000,0.01,"{'alpha': 0.01, 'max_iter': 2000, 'tol': 0.01}",-13.75603949120552,-4.871027363694628,-32.579161018645266,-17.06874262451514,11.55178685160097,34
0.04527608553568522,0.017394558343274615,0.0006083647410074869,0.00023399738654535728,0.01,5000,0.0001,"{'alpha': 0.01, 'max_iter': 5000, 'tol': 0.0001}",-7.679157300752149,-6.129296629199485,-27.037790900995887,-13.615414943649172,9.512120313248627,23
0.014248927434285482,0.0022579714074474583,0.001979351043701172,0.002464096612354405,0.01,5000,0.001,"{'alpha': 0.01, 'max_iter': 5000, 'tol': 0.001}",-7.551189948961352,-6.298603919245347,-27.674066595981298,-13.841286821395999,9.794610428175691,24
0.007012287775675456,0.0019540875013820333,0.00044004122416178387,0.00014649721806516254,0.01,5000,0.01,"{'alpha': 0.01, 'max_iter': 5000, 'tol': 0.01}",-13.75603949120552,-4.871027363694628,-32.579161018645266,-17.06874262451514,11.55178685160097,34
0.011701345443725586,0.003841282651917022,0.0003810723622639974,0.00016496731877320734,0.1,1000,0.0001,"{'alpha': 0.1, 'max_iter': 1000, 'tol': 0.0001}",-6.7866504420995195,-19.358527526592777,-22.874477610244725,-16.339885192979008,6.9059731103705495,27
0.006751537322998047,0.0007389034508472373,0.00044274330139160156,0.0001403474951656059,0.1,1000,0.001,"{'alpha': 0.1, 'max_iter': 1000, 'tol': 0.001}",-6.350901391642509,-19.359041509555368,-24.152965655000543,-16.620969518732807,7.521132524621434,30
0.0035632451375325522,0.002069566519980568,0.00025534629821777344,5.1678017617924185e-05,0.1,1000,0.01,"{'alpha': 0.1, 'max_iter': 1000, 'tol': 0.01}",-6.3198392048289405,-19.809377914611822,-25.955706470430915,-17.361641196623893,8.201031727716723,39
0.01731729507446289,0.005352365882273289,0.0004246234893798828,0.00023850701599240794,0.1,2000,0.0001,"{'alpha': 0.1, 'max_iter': 2000, 'tol': 0.0001}",-6.7866504420995195,-19.358527526592777,-22.874477610244725,-16.339885192979008,6.9059731103705495,27
0.004850467046101888,4.392355026641952e-05,0.00032027562459309894,0.00018309701766494458,0.1,2000,0.001,"{'alpha': 0.1, 'max_iter': 2000, 'tol': 0.001}",-6.350901391642509,-19.359041509555368,-24.152965655000543,-16.620969518732807,7.521132524621434,30
0.003449598948160807,0.0007528590384797369,0.0003543694814046224,0.0001269038490299423,0.1,2000,0.01,"{'alpha': 0.1, 'max_iter': 2000, 'tol': 0.01}",-6.3198392048289405,-19.809377914611822,-25.955706470430915,-17.361641196623893,8.201031727716723,39
0.011419455210367838,0.0014183201563335078,0.000387112299601237,0.0001673424814023911,0.1,5000,0.0001,"{'alpha': 0.1, 'max_iter': 5000, 'tol': 0.0001}",-6.7866504420995195,-19.358527526592777,-22.874477610244725,-16.339885192979008,6.9059731103705495,27
0.006470521291097005,0.003087952725557561,0.0003078778584798177,0.00012453232285139677,0.1,5000,0.001,"{'alpha': 0.1, 'max_iter': 5000, 'tol': 0.001}",-6.350901391642509,-19.359041509555368,-24.152965655000543,-16.620969518732807,7.521132524621434,30
0.0024182001749674478,0.0008440903379494262,0.00021878878275553385,2.4627099210079645e-05,0.1,5000,0.01,"{'alpha': 0.1, 'max_iter': 5000, 'tol': 0.01}",-6.3198392048289405,-19.809377914611822,-25.955706470430915,-17.361641196623893,8.201031727716723,39
0.002788066864013672,0.0017041536403197299,0.00020551681518554688,1.917553464194102e-05,1.0,1000,0.0001,"{'alpha': 1.0, 'max_iter': 1000, 'tol': 0.0001}",-3.3838966436235896,-19.225444196369033,-13.913912075954537,-12.174417638649054,6.5832128878198635,16
0.002178748448689779,0.0014043842805125046,0.00023102760314941406,6.107332853880244e-05,1.0,1000,0.001,"{'alpha': 1.0, 'max_iter': 1000, 'tol': 0.001}",-3.383850161005793,-19.22510019457993,-13.91380900407759,-12.174253119887771,6.583101683462881,13
0.001604000727335612,0.0006260393801065532,0.0003437995910644531,0.00022494014831991112,1.0,1000,0.01,"{'alpha': 1.0, 'max_iter': 1000, 'tol': 0.01}",-3.3858027698441946,-19.221404251999562,-13.91380900407759,-12.17367200864045,6.580913115344863,10
0.003318945566813151,0.002347718594156081,0.0002361933390299479,4.967212674458903e-05,1.0,2000,0.0001,"{'alpha': 1.0, 'max_iter': 2000, 'tol': 0.0001}",-3.3838966436235896,-19.225444196369033,-13.913912075954537,-12.174417638649054,6.5832128878198635,16
0.0019594033559163413,0.0008275058919045671,0.0002181529998779297,3.132884239264651e-05,1.0,2000,0.001,"{'alpha': 1.0, 'max_iter': 2000, 'tol': 0.001}",-3.383850161005793,-19.22510019457993,-13.91380900407759,-12.174253119887771,6.583101683462881,13
0.002126296361287435,0.0008715409412106061,0.00040841102600097656,0.0001639107646241098,1.0,2000,0.01,"{'alpha': 1.0, 'max_iter': 2000, 'tol': 0.01}",-3.3858027698441946,-19.221404251999562,-13.91380900407759,-12.17367200864045,6.580913115344863,10
0.0029969215393066406,0.0008178248219261655,0.00034697850545247394,0.00011632486752560041,1.0,5000,0.0001,"{'alpha': 1.0, 'max_iter': 5000, 'tol': 0.0001}",-3.3838966436235896,-19.225444196369033,-13.913912075954537,-12.174417638649054,6.5832128878198635,16
