mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0.06449127197265625,0.006096735528168528,0.006237109502156575,0.0018770437408960321,10,sqrt,1,2,100,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}",-12.150072275801412,-20.04940671373256,-52.403551119351114,-28.20101003629503,17.41497664460745,108
0.14574694633483887,0.0009204775584468966,0.006616353988647461,0.001325016496124283,10,sqrt,1,2,200,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}",-11.91066551962378,-19.993996380214067,-50.414312934848326,-27.439658278228723,16.577316366924258,97
0.21343135833740234,0.003119090574708621,0.006132761637369792,0.00025535244473752017,10,sqrt,1,2,300,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 300}",-11.676708459207164,-19.184705428898976,-51.289340454371,-27.383584780825714,17.179568686216726,94
0.07199438412984212,0.002547568354987831,0.004854599634806315,0.0021626012264889766,10,sqrt,1,5,100,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 100}",-12.092867515749711,-16.232540314446965,-52.39546204570252,-26.90695662529973,18.102157406314774,82
0.15635037422180176,0.008512144390307522,0.008550246556599935,0.0030364770480972316,10,sqrt,1,5,200,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 200}",-11.916513957974074,-15.649191352125257,-50.228834061488065,-25.93151312386247,17.24824771180513,23
0.20352729161580405,0.01724280182098267,0.006533225377400716,0.0006857533512777718,10,sqrt,1,5,300,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 300}",-11.621883627433665,-15.546857668478356,-50.74117174297855,-25.969971012963526,17.589023935601457,33
0.07175604502360027,0.012582464446552631,0.004706064860026042,0.002174562716235797,10,sqrt,1,10,100,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 100}",-11.797024440544298,-17.21370167942821,-52.06398133204744,-27.02490248400665,17.842864124468427,88
0.14010063807169595,0.01051925753808497,0.0065962473551432295,0.0030566199775616818,10,sqrt,1,10,200,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 200}",-11.628513150750434,-16.63853122197814,-50.511087499546186,-26.259377290758255,17.270092767687125,56
0.2033099333445231,0.009291153910803622,0.008991638819376627,0.004115832930958206,10,sqrt,1,10,300,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 300}",-11.348861813970881,-16.53362108577628,-50.432922303045146,-26.105135067597434,17.33207731359309,46
0.0962376594543457,0.014164453636867682,0.005930423736572266,0.0021584925636116887,10,sqrt,2,2,100,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 100}",-11.75941188573762,-17.217058374473794,-53.53184918553128,-27.5027731485809,18.539706502567437,102
0.13755393028259277,0.0058592149493828845,0.004530986150105794,3.9043585174359095e-05,10,sqrt,2,2,200,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 200}",-11.694165365003506,-17.66549500210111,-50.491601734275925,-26.617087367126846,17.056934496153872,72
0.21629738807678223,0.009104896023482311,0.007584730784098308,0.002246246243608491,10,sqrt,2,2,300,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 300}",-11.494618673156943,-17.714286662397086,-50.79180924581185,-26.666904860455293,17.246822435375194,75
0.0717164675394694,0.005360021507346117,0.006326913833618164,0.0023271678161595464,10,sqrt,2,5,100,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 100}",-11.683236797766794,-17.440964966626908,-51.895175618638966,-27.006459127677555,17.755262409441922,87
0.1309986114501953,0.004963930256729716,0.006904760996500651,0.001745389639238262,10,sqrt,2,5,200,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 200}",-11.616798449878473,-17.34768712413524,-49.73219357036099,-26.232226381458236,16.780884256772858,51
0.20423436164855957,0.02936552960570303,0.006762981414794922,0.0011410524392229853,10,sqrt,2,5,300,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 300}",-11.407512866467103,-17.17356386970598,-50.86913374203597,-26.483403492736347,17.40325095849801,64
0.07706658045450847,0.0038595141130700616,0.0031047662099202475,6.790098997848575e-05,10,sqrt,2,10,100,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 100}",-11.461314928611841,-19.15051033196653,-52.01399267915261,-27.54193931324366,17.586774925980876,103
0.14207943280537924,0.006291063392681066,0.01238266626993815,0.00037723989326303816,10,sqrt,2,10,200,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 200}",-11.46660675475131,-18.511345377933328,-50.14476245408838,-26.707571528924337,16.820295764624788,76
