YEAR;REP;var;Variety;FAO cicle;Sowing date;Flowering date;Harvest date;Fresh Total;Fresh Ear Percentage;Fresh Foliage Percentage;Dry Total;Dry Ear Percentage;Dry Foliage Percentage
2012;C;13;Anjou-387;300;01/06/2012;No data;27/09/2012;53,00;38,10;61,90;21,39;56,27;43,73
2012;C;14;Susann;260;01/06/2012;No data;20/09/2012;31,20;42,50;57,50;14,57;54,18;45,82
2012;C;15;Loubazi;300;01/06/2012;No data;27/09/2012;49,15;42,31;57,69;21,04;58,06;41,94
2012;C;16;Chatillon;260;01/06/2012;No data;20/09/2012;33,95;44,44;55,56;16,34;57,53;42,47
2012;C;17;Devolvi;300;01/06/2012;No data;27/09/2012;31,14;37,74;62,26;12,16;52,48;47,52
2012;C;18;Fern�ndez;300;01/06/2012;No data;20/09/2012;53,48;36,07;63,93;21,71;52,66;47,34
2012;D;1;LG 30.275;260;01/06/2012;No data;13/09/2012;60,47;32,88;67,12;20,75;53,02;46,98
2012;D;2;DKC3390;200;01/06/2012;No data;20/09/2012;49,42;39,06;60,94;19,45;59,14;40,86
2012;D;3;DKC4114;200;01/06/2012;No data;13/09/2012;67,28;30,43;69,57;20,74;48,34;51,66
2012;D;4;Codilor;260;01/06/2012;No data;27/09/2012;74,55;35,71;64,29;28,90;56,09;43,91
2012;D;5;Sy Kairo;200;01/06/2012;No data;13/09/2012;60,52;36,21;63,79;26,33;49,72;50,28
2012;D;6;Barsa;180;01/06/2012;No data;13/09/2012;58,71;28,81;71,19;19,17;49,87;50,13
2012;D;7;Pontos;190;01/06/2012;No data;13/09/2012;41,98;38,18;61,82;13,24;61,17;38,83
2012;D;8;Backari;260;01/06/2012;No data;20/09/2012;76,92;33,33;66,67;25,29;57,30;42,70
2012;D;9;LG 34.90;400;01/06/2012;No data;01/10/2012;60,21;35,21;64,79;20,55;54,13;45,87
2012;D;10;DKC4608;400;01/06/2012;No data;27/09/2012;64,25;34,33;65,67;23,16;52,43;47,57
2012;D;11;Aallexia;400;01/06/2012;No data;01/10/2012;72,63;34,21;65,79;24,82;53,98;46,02
2012;D;12;Sy Syncero;600;01/06/2012;No data;01/10/2012;77,14;33,75;66,25;25,97;51,49;48,51
2012;D;13;Anjou-387;300;01/06/2012;No data;27/09/2012;33,13;38,64;61,36;14,37;52,50;47,50
2012;D;14;Susann;260;01/06/2012;No data;20/09/2012;32,60;40,54;59,46;14,45;54,55;45,45
2012;D;15;Loubazi;300;01/06/2012;No data;27/09/2012;43,55;38,78;61,22;19,59;48,42;51,58
2012;D;16;Chatillon;260;01/06/2012;No data;20/09/2012;37,60;42,11;57,89;18,78;53,64;46,36
2012;D;17;Devolvi;300;01/06/2012;No data;27/09/2012;39,22;40,48;59,52;17,52;54,05;45,95
2012;D;18;Fern�ndez;300;01/06/2012;No data;20/09/2012;38,82;40,43;59,57;17,82;53,21;46,79
2013;A;1;AMADEO;200;06/06/2013;No data;25/09/2013;49,15;36,73;63,27;20,12;51,84;48,16
2013;A;2;LG 30.275;260;06/06/2013;No data;25/09/2013;56,32;36,07;63,93;20,04;54,41;45,59
2013;A;3;DKC 33.90;200;06/06/2013;No data;25/09/2013;50,92;38,33;61,67;18,27;56,06;43,94
2013;A;4;DKC 41.14;200;06/06/2013;No data;01/10/2013;63,88;33,33;66,67;20,90;57,22;42,78
2013;A;5;CODILOR;260;06/06/2013;No data;07/10/2013;63,81;32,73;67,27;23,84;51,15;48,85
2013;A;6;SY KAIRO;200;06/06/2013;No data;25/09/2013;54,57;32,20;67,80;20,38;52,26;47,74
2013;A;7;LG 30.311;300;06/06/2013;No data;01/10/2013;69,52;33,33;66,67;23,20;55,04;44,96
2013;A;8;ADEVEY;280;06/06/2013;No data;07/10/2013;49,21;45,45;54,55;22,09;62,08;37,92
2013;A;9;BELUGI;240;06/06/2013;No data;07/10/2013;53,21;42,59;57,41;25,30;56,78;43,22
2013;A;10;MARACANA;280;06/06/2013;No data;07/10/2013;58,09;35,00;65,00;21,36;53,75;46,25
2013;A;11;DKC4608;400;06/06/2013;No data;14/10/2013;55,94;39,29;60,71;23,62;58,40;41,60
2013;A;12;SY SYNCERO;600;06/06/2013;No data;14/10/2013;63,68;39,71;60,29;26,38;52,50;47,50
2013;A;13;YUCATAN;350;06/06/2013;No data;14/10/2013;53,41;41,07;58,93;22,08;62,89;37,11
2013;A;14;ANJOU_387;300;06/06/2013;No data;14/10/2013;50,31;43,64;56,36;22,20;61,25;38,75
2013;A;15;DEVOLVI;300;06/06/2013;No data;14/10/2013;50,91;46,03;53,97;21,73;62,95;37,05
2013;A;16;FERN�NDEZ;300;06/06/2013;No data;01/10/2013;61,92;34,29;65,71;22,84;56,05;43,95
2013;A;17;SHERLEY;300;06/06/2013;No data;25/09/2013;54,94;34,48;65,52;18,30;53,45;46,55
2013;A;18;MARTELI;300;06/06/2013;No data;25/09/2013;67,34;33,82;66,18;20,39;53,38;46,62
2013;A;19;FORBIA;200;06/06/2013;No data;07/10/2013;56,29;40,43;59,57;23,54;57,07;42,93
2013;A;20;BARSA;180;06/06/2013;No data;25/09/2013;55,31;38,33;61,67;21,27;57,82;42,18
2013;B;1;AMADEO;200;06/06/2013;No data;25/09/2013;48,23;40,35;59,65;19,41;59,73;40,27
2013;B;2;LG 30.275;260;06/06/2013;No data;25/09/2013;53,63;38,24;61,76;20,94;55,33;44,67
2013;B;3;DKC 33.90;200;06/06/2013;No data;25/09/2013;46,60;38,71;61,29;18,40;54,11;45,89
2013;B;4;DKC 41.14;200;06/06/2013;No data;01/10/2013;53,58;37,04;62,96;18,34;63,57;36,43
2013;B;5;CODILOR;260;06/06/2013;No data;07/10/2013;56,85;36,99;63,01;20,32;57,09;42,91
2013;B;6;SY KAIRO;200;06/06/2013;No data;25/09/2013;41,49;30,88;69,12;16,08;48,86;51,14
2013;B;7;LG 30.311;300;06/06/2013;No data;01/10/2013;54,29;32,43;67,57;18,42;53,27;46,73
2013;B;8;ADEVEY;280;06/06/2013;No data;07/10/2013;41,81;45,00;55,00;16,73;67,29;32,71
2013;B;9;BELUGI;240;06/06/2013;No data;07/10/2013;52,41;40,68;59,32;21,26;60,72;39,28
2013;B;10;MARACANA;280;06/06/2013;No data;07/10/2013;45,87;40,00;60,00;16,88;61,90;38,10
2013;B;11;DKC4608;400;06/06/2013;No data;14/10/2013;42,74;40,00;60,00;16,91;60,38;39,62
2013;B;12;SY SYNCERO;600;06/06/2013;No data;14/10/2013;53,91;36,23;63,77;19,66;50,68;49,32
2013;B;13;YUCATAN;350;06/06/2013;No data;14/10/2013;43,34;39,58;60,42;18,24;59,81;40,19
2013;B;14;ANJOU_387;300;06/06/2013;No data;14/10/2013;52,13;41,18;58,82;22,63;58,72;41,28
2013;B;15;DEVOLVI;300;06/06/2013;No data;14/10/2013;49,10;40,35;59,65;19,87;59,12;40,88
2013;B;16;FERN�NDEZ;300;06/06/2013;No data;01/10/2013;61,94;36,49;63,51;22,14;58,12;41,88
2013;B;17;SHERLEY;300;06/06/2013;No data;25/09/2013;54,71;35,71;64,29;18,76;52,75;47,25
2013;B;18;MARTELI;300;06/06/2013;No data;25/09/2013;55,27;35,38;64,62;18,23;51,49;48,51
2013;B;19;FORBIA;200;06/06/2013;No data;07/10/2013;53,38;37,31;62,69;18,94;60,43;39,57
2013;B;20;BARSA;180;06/06/2013;No data;25/09/2013;55,05;34,92;65,08;19,96;55,19;44,81
2013;C;1;AMADEO;200;06/06/2013;No data;25/09/2013;44,79;42,00;58,00;17,02;61,83;38,17
2013;C;2;LG 30.275;260;06/06/2013;No data;25/09/2013;62,69;34,29;65,71;22,57;51,33;48,67
2013;C;3;DKC 33.90;200;06/06/2013;No data;25/09/2013;46,09;41,07;58,93;17,37;58,82;41,18
2013;C;4;DKC 41.14;200;06/06/2013;No data;01/10/2013;64,59;35,62;64,38;20,98;61,41;38,59
2013;C;5;CODILOR;260;06/06/2013;No data;07/10/2013;56,15;36,51;63,49;24,11;50,22;49,78
